country,mean_wealth
Afghanistan,2139
Albania,35529
Algeria,10141
Angola,3701
Antigua and Barbuda,19338
Argentina,10446
Armenia,21802
Aruba,52221
Australia,550110
Austria,250125
Azerbaijan,15953
Bahamas,60263
Bahrain,98031
Bangladesh,9490
Barbados,70807
Belarus,26221
Belgium,381114
Belize,11295
Benin,2976
Bolivia,14098
Bosnia and Herzegovina,33122
Botswana,19388
Brazil,21429
Brunei,57419
Bulgaria,43631
Burkina Faso,1618
Burundi,809
Cambodia,6270
Cameroon,3490
Canada,409297
Central African Republic,980
Chad,1372
Chile,54639
China,76639
Colombia,17079
Comoros,6062
DR Congo,1438
Congo,1841
Costa Rica,45677
Croatia,68272
Cyprus,149824
Czech Republic,82240
Denmark,426494
Djibouti,3755
Dominica,35307
Ecuador,20539
Egypt,23134
El Salvador,38523
Equatorial Guinea,24769
Eritrea,3113
Estonia,77360
Ethiopia,3861
Fiji,20518
Finland,186208
France,322074
Gabon,18647
Gambia,2942
Georgia,15673
Germany,256985
Ghana,7604
Greece,108300
Grenada,52618
Guinea,3935
Guinea-Bissau,1896
Guyana,14389
Haiti,1358
Hong Kong,552930
Hungary,70668
Iceland,457795
India,15535
Indonesia,18534
Iran,39093
Iraq,16919
Ireland,251337
Israel,273417
Italy,231323
Jamaica,21712
Japan,245238
Jordan,30814
Kazakhstan,42559
Kenya,12987
South Korea,237644
Kuwait,171348
Kyrgyzstan,6276
Laos,7916
Latvia,87270
Lebanon,75734
Lesotho,1724
Liberia,5259
Libya,9732
Lithuania,63508
Luxembourg,657564
Madagascar,2118
Malawi,2378
Malaysia,27078
Maldives,21459
Mali,2629
Malta,162581
Mauritania,2938
Mauritius,65031
Mexico,48138
Moldova,18392
Mongolia,7310
Montenegro,75759
Morocco,15164
Mozambique,1117
Myanmar,7112
Namibia,22369
Nepal,4189
Netherlands,400828
New Zealand,472153
Nicaragua,13523
Niger,1420
Nigeria,7618
Norway,334432
Oman,40962
Pakistan,6237
Panama,49935
Papua New Guinea,8449
Paraguay,12078
Peru,20940
Philippines,14502
Poland,50426
Portugal,154377
Qatar,183106
Romania,42351
Russia,34005
Rwanda,4179
Samoa,17396
São Tomé and Príncipe,4610
Saudi Arabia,84407
Senegal,5001
Serbia,32816
Seychelles,57619
Sierra Leone,799
Singapore,358204
Slovakia,63493
Slovenia,107476
Solomon Islands,15596
South Africa,24601
Spain,222888
Sri Lanka,27040
Saint Lucia,27268
Saint Vincent and the Grenadines,18887
Suriname,8060
Sweden,381968
Switzerland,696604
Syria,1562
Taiwan,297864
Tajikistan,4597
Tanzania,4260
Thailand,24638
East Timor,5849
Togo,1518
Tonga,44014
Trinidad and Tobago,49567
Tunisia,20981
Turkey,19496
Turkmenistan,20588
Uganda,2387
Ukraine,19742
United Arab Emirates,122841
United Kingdom,309375
United States,579051
Uruguay,57726
Vanuatu,16374
Venezuela,28243
Vietnam,14246
Yemen,7808
Zambia,3084
Zimbabwe,9791
